Algorithm,Weight,Parameter 1,Parameter 2,Successes,Failures,Success Rate (%),Avg. Time (ms)
CTUS,149,k_1.06,att_1.06,500000,0,100.0000,0.007221
CTUS,149,k_1.07,att_1.07,500000,0,100.0000,0.007493
CTUS,149,k_1.08,att_1.08,500000,0,100.0000,0.007444
CTUS,149,k_1.09,att_1.09,500000,0,100.0000,0.007698
CTUS,149,k_1.10,att_1.10,500000,0,100.0000,0.007838
CTUS,149,k_1.11,att_1.11,500000,0,100.0000,0.007950
CTUS,149,k_1.12,att_1.12,500000,0,100.0000,0.008389
CTUS,149,k_1.13,att_1.13,500000,0,100.0000,0.009445
CTUS,149,k_1.14,att_1.14,500000,0,100.0000,0.009225
CTUS,149,k_1.15,att_1.15,500000,0,100.0000,0.009471
Fixed-N,149,n_iter_1.01,,498003,1997,99.6006,0.006226
Fixed-N,149,n_iter_1.02,,499940,60,99.9880,0.006122
Fixed-N,149,n_iter_1.03,,500000,0,100.0000,0.005937
Fixed-N,149,n_iter_1.04,,500000,0,100.0000,0.005958
Fixed-N,149,n_iter_1.05,,500000,0,100.0000,0.006035
Fixed-N,149,n_iter_1.06,,500000,0,100.0000,0.006078
Fixed-N,149,n_iter_1.07,,500000,0,100.0000,0.006161
Fixed-N,149,n_iter_1.08,,500000,0,100.0000,0.006206
Fixed-N,149,n_iter_1.09,,500000,0,100.0000,0.006257
Fixed-N,149,n_iter_1.10,,500000,0,100.0000,0.006314
Fixed-N,149,n_iter_1.11,,500000,0,100.0000,0.006395
Fixed-N,149,n_iter_1.12,,500000,0,100.0000,0.006433
Fixed-N,149,n_iter_1.13,,500000,0,100.0000,0.006511
Fixed-N,149,n_iter_1.14,,500000,0,100.0000,0.006545
Fixed-N,149,n_iter_1.15,,500000,0,100.0000,0.006624
